,clip,trial,timestamp,outcome,fullOutcome,fullOutcomeJT,success,successJT,reasonFailure,reasonDefence,reasonAttackError,cleanUpNumber,cleanUpPerCent,cleanUpStart,cleanUpEnd,cleanUpTime,X,X.1,X.2,X.3,X.4,condition,team,location
18,1,18,6.5,3,5,5,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
19,1,19,7.14,1,1,1,0,0,2,,3,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
20,1,20,7.39,2,4,4,1,1,,,,5,62.5,8.39,9.32,0.52,,,,,,2,SDW,Shandong
21,1,21,8.01,1,1,1,0,0,2,,4,5,62.5,8.39,9.32,0.52,,"NB - there were 21 trials in this video, including one which failed almost as soon as it started. ",,,,2,SDW,Shandong
23,2,1,0.09,1,3,4,0,0,1,1,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
24,2,2,0.29,1,3,3,0,0,1,1,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
25,2,3,0.52,1,1,1,0,0,2,,2,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
26,2,4,1.07,4,6,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
27,2,5,1.34,3,5,5,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
28,2,6,1.56,1,1,1,0,0,2,,4,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
29,2,7,2.13,1,2,2,0,0,3,1,4,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
30,2,8,2.31,1,1,1,0,0,2,,4,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
31,2,9,2.51,3,5,5,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
32,2,10,3.16,1,2,3,0,0,3,1,3,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
33,2,11,3.31,4,6,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
34,2,12,3.56,1,3,3,0,0,1,2,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
35,2,13,4.22,4,6,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
36,2,14,4.43,2,4,4,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
37,2,15,5.04,1,1,1,0,0,2,,4,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
38,2,16,5.26,3,5,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
39,2,17,5.5,4,6,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
40,2,18,6.13,4,6,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
41,2,19,6.33,1,2,2,0,0,3,1,1,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
42,2,20,6.57,4,6,6,1,1,,,,3,37.5,7:39,8.26,0.47,,,,,,2,SDM,Shandong
44,3,1,0.05,1,3,3,0,0,1,3,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
45,3,2,0.37,3,5,4,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
46,3,3,1.05,3,5,5,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
47,3,4,1.33,1,3,3,0,0,1,2,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
48,3,5,2.02,1,3,3,0,0,1,2,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
49,3,6,2.27,1,3,3,0,0,1,2,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
50,3,7,2.55,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
51,3,8,3.22,3,5,5,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
52,3,9,3.51,1,3,3,0,0,1,2,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
53,3,10,4.1,1,3,3,0,0,1,2,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
54,3,11,4.34,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
55,3,12,5.01,1,3,3,0,0,1,2,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
56,3,13,5.23,2,4,5,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
57,3,14,5.5,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
58,3,15,6.17,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
59,3,16,6.48,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
60,3,17,7.16,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
61,3,18,7.41,3,5,5,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
62,3,19,8.09,4,6,6,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
63,3,20,8.39,3,5,4,1,1,,,,8,100,9.16,10.25,1.09,,,,,,1,SDW,Shandong
65,4,1,0.08,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
66,4,2,0.31,1,1,1,0,0,2,,3,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
67,4,3,0.52,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
68,4,4,1.15,3,5,5,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
69,4,5,2.02,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
70,4,6,2.25,1,3,3,0,0,1,1,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
71,4,7,2.47,3,5,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
72,4,8,3.1,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
73,4,9,3.29,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
74,4,10,3.52,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
75,4,11,4.09,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
76,4,12,4.3,4,6,5,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
77,4,13,4.5,1,2,2,0,1,3,1,3,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
78,4,14,5.15,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
79,4,15,5.33,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
80,4,16,5.58,1,3,3,0,0,1,2,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
81,4,17,6.22,1,1,1,0,0,2,,2,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
82,4,18,6.46,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
83,4,19,7.05,4,6,6,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
84,4,20,7.23,4,6,5,1,1,,,,2,25,8.02,10.32,2.3,,,,,,1,SDM,Shandong
86,5,1,,,,,,,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
87,5,2,,,,,,,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
88,5,3,,,,,,,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
89,5,4,,,,,,,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
90,5,5,0.03,1,1,1,0,0,2,,0,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
91,5,6,0.23,1,1,1,0,0,2,,1,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
92,5,7,0.41,1,1,1,0,0,2,,2,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
93,5,8,1.02,3,5,5,1,1,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
94,5,9,1.27,1,1,1,0,0,2,,2,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
95,5,10,1.44,1,2,2,0,0,3,1,2,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
96,5,11,2.02,3,5,5,1,1,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
97,5,12,2.24,4,6,6,1,1,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
98,5,13,2.53,1,2,2,0,0,3,1,2,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
99,5,14,3.16,1,3,3,0,0,1,2,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
100,5,15,3.31,1,2,2,0,0,3,1,1,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
101,5,16,3.57,1,1,1,0,0,2,,4,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
102,5,17,4.21,1,3,3,0,0,1,2,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
103,5,18,4.43,1,2,3,0,0,3,1,2,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
104,5,19,5.04,4,6,6,1,1,,,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
105,5,20,5.27,1,3,3,0,0,1,1,,3,50,6.01,6.42,0.41,,,,,,1,BJW,Beijing
107,6,1,0.06,4,6,6,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
108,6,2,0.4,1,2,2,0,0,3,1,2,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
109,6,3,1.2,4,6,6,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
110,6,4,1.45,3,5,5,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
111,6,5,2.36,4,6,6,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
112,6,6,3.05,2,4,4,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
113,6,7,3.37,3,5,5,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
114,6,8,4.11,3,5,5,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
115,6,9,4.4,1,3,3,0,0,1,1,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
116,6,10,5.04,1,1,1,0,0,2,,3,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
117,6,11,5.23,2,4,4,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
118,6,12,5.51,2,4,3,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
119,6,13,6.26,1,3,3,0,0,1,1,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
120,6,14,6.54,4,6,6,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
121,6,15,7.23,3,5,5,1,1,,,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
122,6,16,7.59,1,1,2,0,0,2,,3,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
123,6,17,8.31,1,1,1,0,0,2,,3,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
124,6,18,8.53,1,3,3,0,0,1,2,,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
125,6,19,9.2,1,1,1,0,0,2,,3,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
126,6,20,9.38,1,1,1,0,0,2,,4,3,37.5,10.15,11.22,1.07,,,,,,1,BJM,Beijing
128,7,1,,,,,,,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
129,7,2,,,,,,,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
130,7,3,,,,,,,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
131,7,4,,,,,,,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
132,7,5,0.01,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
133,7,6,0.25,3,5,5,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
134,7,7,0.54,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
135,7,8,1.2,3,5,5,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
136,7,9,1.55,2,4,4,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
137,7,10,2.27,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
138,7,11,2.52,1,1,1,0,0,2,,4,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
139,7,12,3.27,1,3,3,0,0,1,2,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
140,7,13,3.53,1,3,3,0,0,1,1,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
141,7,14,4.18,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
142,7,15,4.45,1,1,1,0,0,2,,2,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
143,7,16,5.04,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
144,7,17,5.33,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
145,7,18,5.56,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
146,7,19,6.18,1,2,2,0,0,3,2,2,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
147,7,20,6.39,4,6,6,1,1,,,,6,100,7.18,8.02,0.44,,,,,,2,BJW,Beijing
149,8,1,0.13,1,2,2,0,0,3,2,3,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
150,8,2,0.33,2,4,4,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
151,8,3,1.16,1,1,1,0,0,2,,4,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
152,8,4,1.3,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
153,8,5,1.58,4,6,6,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
154,8,6,2.26,1,1,1,0,0,2,,4,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
155,8,7,2.49,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
156,8,8,3.2,2,4,4,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
157,8,9,4.04,1,1,1,0,0,2,,2,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
158,8,10,4.39,4,6,6,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
159,8,11,5.06,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
160,8,12,5.35,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
161,8,13,6.01,1,1,1,0,0,2,,1,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
162,8,14,6.35,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
163,8,15,7.19,4,6,6,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
164,8,16,8.16,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
165,8,17,8.44,3,5,5,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
166,8,18,9.08,4,6,6,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
167,8,19,9.36,4,6,6,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
168,8,20,10.01,4,6,6,1,1,,,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
169,8,21,10.32,1,3,3,0,0,1,2,,4,50,11.35,12.57,1.22,,,,,,2,BJM,Beijing
170,8,22,10.55,1,3,3,0,0,1,1,,4,50,11.35,12.57,1.22,,NB: there were 22 trials in this video. ,,,,2,BJM,Beijing
